time,powerfactor
0,1
3.16E-30,1
7.07E-06,1
1.41E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.13E-05,1
2.17E-05,1
2.38E-05,1
3.40E-05,1
5.45E-05,1
8.57E-05,1
0.000126765,1
0.000167806,1
0.000208847,1
0.000249888,1
0.00029093,1
0.000331971,1
0.000373012,1
0.000414053,1
0.000455094,1
0.000506779,1
0.000558463,1
0.000622247,1
0.000686031,1
0.000765086,1
0.00084414,1
0.000942789,1
0.001041437,1
0.001165924,1
0.001290411,1
0.001450639,1
0.001610866,1
0.001825322,1
0.002083476,1
0.002341629,1
0.002656705,1
0.002971781,1
0.003286857,1
0.003666589,1
0.004046321,1
0.004426052,1
0.004805784,1
0.005272923,1
0.005740063,1
0.006207202,1
0.006666667,1
0.007126131,1
0.007585596,1
0.00804506,1
0.008504525,1
0.008963989,1
0.009423454,1
0.009882918,1
0.010342383,1
0.01094229,1
0.011542197,1
0.012,1
0.012457803,1
0.012915606,1
0.013333333,1
0.013751061,1
0.014168788,1
0.014586515,1
0.015004242,1
0.015554819,1
0.016105396,1
0.016655972,1
0.017206549,1
0.017624104,1
0.018041659,1
0.018459214,1
0.01887677,1
0.019294325,1
0.01971188,1
0.02,0.969906745
0.020672198,0.958330693
0.021344395,0.947810919
0.02182914,0.941136609
0.022313885,0.93536763
0.02279863,0.930498998
0.023283375,0.926623255
0.02376812,0.923499463
0.023768165,0.923506358
0.023768391,0.92354074
0.023769522,0.923710426
0.023773031,0.924214235
0.023778406,0.924923219
0.023785379,0.925741358
0.023793826,0.926597874
0.023802273,0.927327946
0.023813418,0.928129863
0.023824563,0.928779757
0.02383867,0.929428812
0.023852778,0.929924668
0.023870483,0.930383132
0.023888188,0.930705224
0.024142358,0.929651798
0.024633605,0.928056225
0.024646108,0.928254631
0.024667739,0.928500536
0.02468937,0.928656426
0.024717469,0.928771752
0.024745569,0.928824854
0.024784409,0.928841593
0.024832245,0.928792484
0.024894289,0.928677675
0.024980697,0.928517133
0.025116593,0.928300668
0.025389478,0.927967238
0.026039389,0.927526618
0.026666667,0.927566504
0.027115274,0.928055061
0.027563882,0.928875558
0.02801249,0.930021261
0.028461098,0.931470594
0.028473837,0.931461821
0.028537531,0.931522124
0.028856002,0.931909777
0.029310801,0.932302437
0.0297656,0.932656568
0.030392015,0.93306488
0.03101843,0.933376177
0.031644846,0.933612163
0.032095206,0.933774284
0.032545567,0.933917746
0.032995928,0.934056364
0.033333333,0.93424327
0.033754998,0.934309767
0.033759996,0.935375446
0.033771165,0.937411275
0.033782333,0.939051135
0.033793501,0.940377916
0.03380467,0.941455451
0.033818925,0.942547168
0.033833181,0.943391348
0.033847436,0.944046663
0.033865485,0.944673869
0.033883534,0.94513364
0.033905533,0.945534879
0.033927533,0.945814863
0.033955556,0.946057606
0.033983579,0.946219827
0.034021687,0.946368074
0.034068245,0.946493142
0.034128064,0.946622085
0.034210316,0.946697167
0.034336966,0.946707535
0.034580336,0.946914658
0.035172196,0.946931726
0.035764056,0.946980044
0.036355916,0.947082171
0.036947776,0.947363541
0.03737688,0.947651142
0.037805984,0.948205086
0.038235088,0.948962509
0.038664193,0.94992165
0.039093297,0.951064639
0.039522401,0.952358737
0.04,0.953862781
0.040758573,0.956453261
0.04122739,0.95797128
0.041696206,0.959371048
0.042165022,0.960589093
0.042633838,0.961608406
0.043102655,0.962421472
0.043571471,0.963038531
0.044040287,0.958294127
0.044391634,0.958381165
0.04491849,0.957792848
0.045568927,0.957780448
0.046219365,0.957855529
0.046666667,0.957776269
0.047113968,0.957777822
0.04756127,0.957780115
0.048008571,0.95778256
0.048455872,0.957784767
0.048903174,0.958913407
0.049350475,0.960167712
0.049797777,0.961552795
0.050441298,0.963590152
0.05108482,0.965571236
0.051529262,0.966850005
0.051973705,0.968011926
0.052418148,0.968973731
0.052862591,0.969746957
0.053333333,0.970461119
0.053804076,0.966215274
0.054274819,0.962310421
0.054745562,0.96225293
0.055360029,0.96231049
