time,powerfactor
0,1
3.16E-30,1
7.07E-06,1
1.41E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.13E-05,1
2.17E-05,1
2.38E-05,1
3.40E-05,1
5.45E-05,1
8.57E-05,1
0.000123213,1
0.000160702,1
0.000198191,1
0.000235679,1
0.000273168,1
0.000310657,1
0.000348146,1
0.000385635,1
0.000423124,1
0.000470153,1
0.000517183,1
0.000564212,1
0.000611242,1
0.000658272,1
0.000705301,1
0.000752331,1
0.00079936,1
0.000859241,1
0.000919121,1
0.000979002,1
0.001053475,1
0.001127948,1
0.001202421,1
0.001295871,1
0.001389322,1
0.001482772,1
0.001601704,1
0.001720636,1
0.001839568,1
0.001994584,1
0.002149601,1
0.002340592,1
0.002531583,1
0.002776616,1
0.003021649,1
0.003266682,1
0.003511715,1
0.003812658,1
0.004113602,1
0.004414545,1
0.004715489,1
0.005016433,1
0.005387637,1
0.005758841,1
0.006236976,1
0.006666667,1
0.007096357,1
0.007526047,1
0.007955737,1
0.008287119,1
0.008618502,1
0.008949884,1
0.009281266,1
0.009703671,1
0.010126077,1
0.010640695,1
0.011155314,1
0.011669932,1
0.012184551,1
0.012699169,1
0.013108356,1
0.013333333,1
0.013757252,1
0.014181171,1
0.014605089,1
0.015140681,1
0.015676273,1
0.016211864,1
0.016747456,1
0.017283048,1
0.017698274,1
0.0181135,1
0.018528727,1
0.018943953,1
0.01935918,1
0.019873927,1
0.02,0.831953108
0.020630363,0.813811108
0.021260726,0.797718764
0.02175461,0.786642323
0.022248494,0.776966225
0.022742377,0.768732465
0.023236261,0.761857826
0.023730145,0.756129236
0.024224028,0.751657058
0.024717912,0.748444028
0.02531735,0.745310365
0.026051801,0.743084066
0.026594706,0.742340247
0.026666667,0.742185531
0.027026472,0.742152595
0.027386278,0.742328927
0.027746083,0.74257013
0.028105888,0.742560656
0.028465694,0.742829082
0.028825499,0.743110088
0.029276113,0.743200423
0.029726727,0.743719427
0.030337485,0.744693848
0.031079632,0.745122648
0.031616899,0.745416527
0.032154166,0.745750581
0.03257335,0.745568394
0.032992534,0.745852476
0.033333333,0.746419322
0.033755053,0.74655042
0.034176774,0.746654199
0.034598494,0.746737214
0.035169135,0.746750984
0.035934115,0.746644728
0.036513747,0.746993638
0.036973996,0.747312723
0.037434245,0.747243278
0.037894493,0.747354617
0.038354742,0.74738232
0.038814991,0.747312433
0.03927524,0.747157227
0.039735488,0.747357418
0.04,0.746759488
0.040744367,0.746955203
0.041215715,0.746776301
0.041687062,0.746623363
0.04215841,0.746441944
0.042629758,0.746245617
0.043101106,0.746071747
0.043572454,0.745954499
0.044043802,0.745918591
0.04451515,0.745975218
0.044986498,0.745890331
0.045737809,0.746143831
0.046209499,0.74679621
0.046666667,0.746741705
0.047123834,0.746929999
0.047581002,0.747044525
0.048038169,0.74693426
0.048495337,0.746815211
0.048952504,0.74723333
0.049409672,0.747190972
0.04986684,0.747283181
0.050547242,0.747162636
0.051227645,0.746612198
0.051730501,0.746409292
0.052233356,0.746415268
0.052736212,0.7461938
0.053239068,0.746405163
0.053333333,0.746711572
0.053760035,0.746680502
0.054186737,0.746655521
0.054613439,0.746620163
0.055187945,0.746622356
0.055954501,0.746699189
0.056527958,0.746730692
0.056986548,0.746747804
0.057445138,0.746756592
0.057903729,0.74675735
0.058362319,0.746769571
0.058820909,0.746758995
0.0592795,0.746746351
0.05973809,0.746729723
0.06,0.746722628
0.060744193,0.746723514
0.061215571,0.746722995
0.061686948,0.746722923
0.062158326,0.746722958
0.062629704,0.746723093
0.063101082,0.746723308
0.06357246,0.746723493
0.064043837,0.746723371
0.064515215,0.746723289
0.064986593,0.74672314
0.06573791,0.746723573
0.066209588,0.746723769
0.066666667,0.74672373
0.067123745,0.746724033
0.067580823,0.746724585
0.068037901,0.746725285
0.068494979,0.746726003
0.068952058,0.746726594
0.069409136,0.746726917
0.069866214,0.746726859
0.070546243,0.746728293
0.071226273,0.74672462
0.071729325,0.74672116
0.072232376,0.746719546
