time,powerfactor
0,1
3.16E-30,1
7.07E-06,1
1.41E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.12E-05,1
2.13E-05,1
2.17E-05,1
2.38E-05,1
3.40E-05,1
5.45E-05,1
8.57E-05,1
0.000126765,1
0.000167806,1
0.000208847,1
0.000249888,1
0.00029093,1
0.000331971,1
0.000373012,1
0.000414053,1
0.000455094,1
0.000506779,1
0.000558463,1
0.000622247,1
0.000686031,1
0.000765086,1
0.00084414,1
0.000942789,1
0.001041437,1
0.001165924,1
0.001290411,1
0.001450639,1
0.001610866,1
0.001825322,1
0.002083476,1
0.002341629,1
0.002656705,1
0.002971781,1
0.003286857,1
0.003666589,1
0.004046321,1
0.004426052,1
0.004805784,1
0.005272923,1
0.005740063,1
0.006207202,1
0.006674341,1
0.007141481,1
0.00760862,1
0.00807576,1
0.008542899,1
0.009010038,1
0.009477178,1
0.009944317,1
0.010411456,1
0.011012245,1
0.011613033,1
0.012064496,1
0.012515959,1
0.012967422,1
0.013418885,1
0.013870348,1
0.014321811,1
0.014773274,1
0.015224737,1
0.015824418,1
0.016424099,1
0.016894114,1
0.01736413,1
0.017834145,1
0.018304161,1
0.018774176,1
0.019244192,1
0.019714207,1
0.020184223,0.966674147
0.020844029,0.955510975
0.021503835,0.945522341
0.021968364,0.939386412
0.022432893,0.934074776
0.022897422,0.929635047
0.023361951,0.926015933
0.023826481,0.92316527
0.02429101,0.92106087
0.024755539,0.919598675
0.025332941,0.918458768
0.026041858,0.917902515
0.026583429,0.91790847
0.027125,0.918089473
0.027544701,0.918495733
0.027964402,0.918949049
0.028384103,0.919401329
0.028803804,0.919818642
0.029223505,0.920185232
0.029643206,0.920503491
0.030227571,0.920939009
0.030975706,0.921436814
0.031539444,0.921685482
0.032103181,0.921980339
0.032524132,0.922185596
0.032945083,0.92228497
0.033366035,0.922332475
0.033786986,0.922376347
0.034207937,0.922427438
0.034628888,0.922490681
0.035208326,0.922629263
0.035976547,0.922705233
0.036542823,0.922733296
0.0371091,0.922808734
0.037529871,0.922817365
0.037950642,0.922778811
0.038371414,0.92269922
0.038792185,0.922596545
0.039212956,0.922602394
0.039633728,0.922625014
0.040214772,0.922526041
0.040963609,0.922416726
0.041530954,0.922446546
0.042098299,0.92231592
0.042519513,0.922331032
0.042940727,0.922384813
0.043361941,0.922465955
0.043783155,0.922383975
0.044204369,0.922339867
0.044625584,0.922339635
0.045203913,0.922374068
0.045971764,0.922461042
0.046539392,0.922487821
0.047107019,0.92247007
0.047527898,0.92246562
0.047948776,0.922464907
0.048369654,0.922461092
0.048790533,0.922456386
0.049211411,0.922452144
0.049632289,0.922447255
0.050212846,0.922448562
0.050961792,0.92240513
0.051529688,0.922364231
0.052097585,0.922356998
0.052518838,0.922358395
0.052940091,0.922358175
0.053361345,0.922358661
0.053782598,0.922359734
0.054203851,0.922360891
0.054625104,0.92236224
0.055203274,0.922362086
0.055971072,0.922368085
0.056538896,0.922371632
0.057106721,0.922371472
0.057527614,0.922370934
0.057948508,0.92237107
0.058369402,0.922370902
0.058790296,0.922370471
0.05921119,0.922366747
0.059632084,0.922362239
0.060212571,0.922362301
0.060961532,0.922359945
0.061529508,0.922358699
0.062097483,0.922358861
0.062518742,0.922359035
0.062940001,0.922358976
0.06336126,0.922359027
0.063782518,0.922359168
0.064203777,0.922359379
0.064625036,0.922359631
0.065203183,0.9223596
0.065970974,0.922360463
0.066538826,0.922360982
0.067106678,0.922360958
0.067527574,0.922360881
0.06794847,0.922360903
0.068369366,0.922360881
0.068790262,0.922360821
0.069211158,0.922360732
0.069632054,0.922360625
0.070212532,0.922360638
0.070961495,0.922360286
0.071529482,0.922360093
0.072097469,0.922360123
0.072518728,0.922360151
0.072939988,0.922360143
0.073361248,0.922360151
0.073782507,0.922359489
0.074203767,0.922358695
0.074625027,0.922358731
0.07520317,0.922358727
0.07597096,0.922358851
0.076538816,0.922358924
0.077106672,0.922358921
0.077527568,0.92235891
0.077948465,0.922358913
0.078369361,0.92235891
